case_id,fraud_type,scenario,modus_operandi,warning_signs,prevention_tips,legal_consequence,keywords,date,region,loss_amount,victim_age,detailed_description
1.0,兼职刷单,大学生在网上寻找兼职机会,虚假兼职，声称需要先充值启动资金才能开始工作,正规公司不会要求员工先交启动资金,①查证兼职平台真伪 ②不交任何形式的启动金 ③拨打官方电话确认,诈骗罪，处3年以下有期徒刑、拘役或管制，并处或者单处罚金；数额巨大或者有其他严重情节的，处3年以上10年以下有期徒刑，并处罚金,"启动金,押金,刷单,兼职,充值,好评,数据录入,学习资料费,会员费",2025-09-25,成都,45347.0,20.0,大学生在网上寻找兼职机会，遇到兼职刷单诈骗。骗子通过虚假兼职，声称需要先充值启动资金才能开始工作。警示信号：正规公司不会要求员工先交启动资金。防范建议：①查证兼职平台真伪 ②不交任何形式的启动金 ③拨打官方电话确认。 用户常见描述：做好评赚钱要先交会员费；帮商家冲量每单返佣先垫款；接副业任务需要激活账号；帮商家做评价先下载App；短视频点赞员日薪百元先交押金；在家做数据录入先交资料费；赚零花钱要充值激活才能接单。 识别关键词：好评赚钱、冲量返佣、副业任务、激活账号、点赞员、数据录入先交费、充值激活接单、学习资料费、会员费。
2.0,兼职刷单,大学生在微信群看到兼职信息,声称做淘宝刷单日赚300元，需要先交入职费,任何要求先交钱的兼职都是诈骗,①拒绝交入职费 ②通过正规平台找兼职 ③不相信高回报承诺,诈骗罪，处3年以下有期徒刑、拘役或管制，并处或者单处罚金；数额巨大或者有其他严重情节的，处3年以上10年以下有期徒刑，并处罚金,"刷单,兼职,入职费,高回报,淘宝",2025-09-15,南京,42195.0,25.0,大学生在微信群看到兼职信息，遇到兼职刷单诈骗。骗子通过声称做淘宝刷单日赚300元，需要先交入职费。警示信号：任何要求先交钱的兼职都是诈骗。防范建议：①拒绝交入职费 ②通过正规平台找兼职 ③不相信高回报承诺。 用户常见描述：做好评赚钱要先交会员费；帮商家冲量每单返佣先垫款；接副业任务需要激活账号；帮商家做评价先下载App；短视频点赞员日薪百元先交押金；在家做数据录入先交资料费；赚零花钱要充值激活才能接单。 识别关键词：好评赚钱、冲量返佣、副业任务、激活账号、点赞员、数据录入先交费、充值激活接单。
3.0,兼职刷单,大学生在QQ群看到兼职信息,声称做京东刷单，需要先交保证金,正规电商平台不会要求刷单,①不参与刷单活动 ②不向陌生账户转账 ③举报虚假兼职信息,诈骗罪，处3年以下有期徒刑、拘役或管制，并处或者单处罚金；数额巨大或者有其他严重情节的，处3年以上10年以下有期徒刑，并处罚金,"刷单,兼职,保证金,京东,转账",2025-09-08,重庆,14294.0,19.0,大学生在QQ群看到兼职信息，遇到兼职刷单诈骗。骗子通过声称做京东刷单，需要先交保证金。警示信号：正规电商平台不会要求刷单。防范建议：①不参与刷单活动 ②不向陌生账户转账 ③举报虚假兼职信息。 用户常见描述：做好评赚钱要先交会员费；帮商家冲量每单返佣先垫款；接副业任务需要激活账号；帮商家做评价先下载App；短视频点赞员日薪百元先交押金；在家做数据录入先交资料费；赚零花钱要充值激活才能接单。 识别关键词：好评赚钱、冲量返佣、副业任务、激活账号、点赞员、数据录入先交费、充值激活接单。
4.0,兼职刷单,大学生在微博看到兼职信息,声称做抖音刷单，需要先下载APP,要求下载不明APP的兼职都是诈骗,①不下载陌生APP ②不填写个人信息 ③通过正规渠道找兼职,诈骗罪，处3年以下有期徒刑、拘役或管制，并处或者单处罚金；数额巨大或者有其他严重情节的，处3年以上10年以下有期徒刑，并处罚金,"刷单,兼职,APP,抖音,个人信息",2025-06-27,武汉,37571.0,21.0,大学生在微博看到兼职信息，遇到兼职刷单诈骗。骗子通过声称做抖音刷单，需要先下载APP。警示信号：要求下载不明APP的兼职都是诈骗。防范建议：①不下载陌生APP ②不填写个人信息 ③通过正规渠道找兼职。 用户常见描述：做好评赚钱要先交会员费；帮商家冲量每单返佣先垫款；接副业任务需要激活账号；帮商家做评价先下载App；短视频点赞员日薪百元先交押金；在家做数据录入先交资料费；赚零花钱要充值激活才能接单。 识别关键词：好评赚钱、冲量返佣、副业任务、激活账号、点赞员、数据录入先交费、充值激活接单。
5.0,兼职刷单,大学生在知乎看到兼职信息,声称做拼多多刷单，需要先绑定银行卡,要求绑定银行卡的兼职都是诈骗,①不绑定银行卡 ②保护个人信息 ③核实招聘方资质,诈骗罪，处3年以下有期徒刑、拘役或管制，并处或者单处罚金；数额巨大或者有其他严重情节的，处3年以上10年以下有期徒刑，并处罚金,"刷单,兼职,银行卡,拼多多,个人信息",2025-12-11,南京,27129.0,22.0,大学生在知乎看到兼职信息，遇到兼职刷单诈骗。骗子通过声称做拼多多刷单，需要先绑定银行卡。警示信号：要求绑定银行卡的兼职都是诈骗。防范建议：①不绑定银行卡 ②保护个人信息 ③核实招聘方资质。 用户常见描述：做好评赚钱要先交会员费；帮商家冲量每单返佣先垫款；接副业任务需要激活账号；帮商家做评价先下载App；短视频点赞员日薪百元先交押金；在家做数据录入先交资料费；赚零花钱要充值激活才能接单。 识别关键词：好评赚钱、冲量返佣、副业任务、激活账号、点赞员、数据录入先交费、充值激活接单。
6.0,兼职刷单,大学生在贴吧看到兼职信息,声称做亚马逊刷单，需要先交培训费,要求交培训费的兼职都是诈骗,①不交培训费 ②核实招聘方资质 ③通过正规平台找兼职,诈骗罪，处3年以下有期徒刑、拘役或管制，并处或者单处罚金；数额巨大或者有其他严重情节的，处3年以上10年以下有期徒刑，并处罚金,"刷单,兼职,培训费,亚马逊,招聘",2026-01-21,上海,938.0,21.0,大学生在贴吧看到兼职信息，遇到兼职刷单诈骗。骗子通过声称做亚马逊刷单，需要先交培训费。警示信号：要求交培训费的兼职都是诈骗。防范建议：①不交培训费 ②核实招聘方资质 ③通过正规平台找兼职。 用户常见描述：做好评赚钱要先交会员费；帮商家冲量每单返佣先垫款；接副业任务需要激活账号；帮商家做评价先下载App；短视频点赞员日薪百元先交押金；在家做数据录入先交资料费；赚零花钱要充值激活才能接单。 识别关键词：好评赚钱、冲量返佣、副业任务、激活账号、点赞员、数据录入先交费、充值激活接单。
7.0,兼职刷单,大学生在小红书看到兼职信息,声称做微博刷单，需要先加微信,要求加陌生微信的兼职要谨慎,①不随便加陌生微信 ②不向陌生人转账 ③通过正规平台找兼职,诈骗罪，处3年以下有期徒刑、拘役或管制，并处或者单处罚金；数额巨大或者有其他严重情节的，处3年以上10年以下有期徒刑，并处罚金,"刷单,兼职,微信,小红书,微博",2025-09-20,成都,35000.0,19.0,大学生在小红书看到兼职信息，遇到兼职刷单诈骗。骗子通过声称做微博刷单，需要先加微信。警示信号：要求加陌生微信的兼职要谨慎。防范建议：①不随便加陌生微信 ②不向陌生人转账 ③通过正规平台找兼职。 用户常见描述：做好评赚钱要先交会员费；帮商家冲量每单返佣先垫款；接副业任务需要激活账号；帮商家做评价先下载App；短视频点赞员日薪百元先交押金；在家做数据录入先交资料费；赚零花钱要充值激活才能接单。 识别关键词：好评赚钱、冲量返佣、副业任务、激活账号、点赞员、数据录入先交费、充值激活接单。
8.0,兼职刷单,大学生在B站看到兼职信息,声称做B站up主刷单，需要先充会员,要求充会员的兼职都是诈骗,①不充会员 ②不相信高回报承诺 ③通过正规平台找兼职,诈骗罪，处3年以下有期徒刑、拘役或管制，并处或者单处罚金；数额巨大或者有其他严重情节的，处3年以上10年以下有期徒刑，并处罚金,"刷单,兼职,会员,B站,up主",2025-05-01,成都,6465.0,24.0,大学生在B站看到兼职信息，遇到兼职刷单诈骗。骗子通过声称做B站up主刷单，需要先充会员。警示信号：要求充会员的兼职都是诈骗。防范建议：①不充会员 ②不相信高回报承诺 ③通过正规平台找兼职。 用户常见描述：做好评赚钱要先交会员费；帮商家冲量每单返佣先垫款；接副业任务需要激活账号；帮商家做评价先下载App；短视频点赞员日薪百元先交押金；在家做数据录入先交资料费；赚零花钱要充值激活才能接单。 识别关键词：好评赚钱、冲量返佣、副业任务、激活账号、点赞员、数据录入先交费、充值激活接单。
9.0,兼职刷单,大学生在抖音看到兼职信息,声称做抖音直播刷单，需要先投钱,要求投钱的兼职都是诈骗,①不投钱 ②不相信高回报承诺 ③通过正规平台找兼职,诈骗罪，处3年以下有期徒刑、拘役或管制，并处或者单处罚金；数额巨大或者有其他严重情节的，处3年以上10年以下有期徒刑，并处罚金,"刷单,兼职,投钱,抖音,直播",2025-09-09,深圳,49198.0,18.0,大学生在抖音看到兼职信息，遇到兼职刷单诈骗。骗子通过声称做抖音直播刷单，需要先投钱。警示信号：要求投钱的兼职都是诈骗。防范建议：①不投钱 ②不相信高回报承诺 ③通过正规平台找兼职。 用户常见描述：做好评赚钱要先交会员费；帮商家冲量每单返佣先垫款；接副业任务需要激活账号；帮商家做评价先下载App；短视频点赞员日薪百元先交押金；在家做数据录入先交资料费；赚零花钱要充值激活才能接单。 识别关键词：好评赚钱、冲量返佣、副业任务、激活账号、点赞员、数据录入先交费、充值激活接单。
10.0,兼职刷单,大学生在快手看到兼职信息,声称做快手短视频刷单，需要先买商品,要求先买商品的兼职都是诈骗,①不买商品 ②不相信高回报承诺 ③通过正规平台找兼职,诈骗罪，处3年以下有期徒刑、拘役或管制，并处或者单处罚金；数额巨大或者有其他严重情节的，处3年以上10年以下有期徒刑，并处罚金,"刷单,兼职,买商品,快手,短视频",2025-08-28,西安,23682.0,21.0,大学生在快手看到兼职信息，遇到兼职刷单诈骗。骗子通过声称做快手短视频刷单，需要先买商品。警示信号：要求先买商品的兼职都是诈骗。防范建议：①不买商品 ②不相信高回报承诺 ③通过正规平台找兼职。 用户常见描述：做好评赚钱要先交会员费；帮商家冲量每单返佣先垫款；接副业任务需要激活账号；帮商家做评价先下载App；短视频点赞员日薪百元先交押金；在家做数据录入先交资料费；赚零花钱要充值激活才能接单。 识别关键词：好评赚钱、冲量返佣、副业任务、激活账号、点赞员、数据录入先交费、充值激活接单。
